id	entityids	type	filename	url
3011372	{RxNorm:3328}	DRUG_RESOURCE	dibekacin-Drug_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/drug_resource/dibekacin-Drug_Resource_Mappings.xlsx
163157	{RxNorm:42316}	DRUG_RESOURCE	tacrolimus-Drug_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/drug_resource/tacrolimus-Drug_Resource_Mappings.xlsx
876619	{RxNorm:10627}	RECOMMENDATION	tobramycin recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/tobramycin%20recommendation.xlsx
2458379	{RxNorm:7833}	RECOMMENDATION	aminosalicylic acid recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/aminosalicylic%20acid%20recommendation.xlsx
2457981	{RxNorm:7623}	DRUG_RESOURCE	ofloxacin-Drug_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/drug_resource/ofloxacin-Drug_Resource_Mappings.xlsx
163383	{RxNorm:3247}	RECOMMENDATION	desipramine recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/desipramine%20recommendation.xlsx
1827505	{RxNorm:301542}	TEST_ALERT	rosuvastatin_Pre_and_Post_Test_Alerts.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/test_alert/rosuvastatin_Pre_and_Post_Test_Alerts.xlsx
3127886	{RxNorm:39786}	RECOMMENDATION	venlafaxine recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/venlafaxine%20recommendation.xlsx
2457967	{RxNorm:1425099}	DRUG_RESOURCE	trametinib-Drug_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/drug_resource/trametinib-Drug_Resource_Mappings.xlsx
3010962	{RxNorm:NA}	DRUG_RESOURCE	ribostamycin-Drug_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/drug_resource/ribostamycin-Drug_Resource_Mappings.xlsx
2458457	{RxNorm:10207}	RECOMMENDATION	sulfisoxazole recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/sulfisoxazole%20recommendation.xlsx
162747	{ATC:L01A}	DRUG_RESOURCE	Alkylating Agents-Drug_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/drug_resource/Alkylating%20Agents-Drug_Resource_Mappings.xlsx
3011624	{RxNorm:NA}	RECOMMENDATION	ribostamycin recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/ribostamycin%20recommendation.xlsx
2458663	{RxNorm:10178}	TEST_ALERT	sulfadimidine_Pre_and_Post_Test_Alerts.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/test_alert/sulfadimidine_Pre_and_Post_Test_Alerts.xlsx
1607303	{ABCG2}	FREQUENCY	ABCG2_frequency_table.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/frequency/ABCG2_frequency_table.xlsx
1508711	{RxNorm:321988}	TEST_ALERT	escitalopram_Pre_and_Post_Test_Alerts.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/test_alert/escitalopram_Pre_and_Post_Test_Alerts.xlsx
2620236	{RxNorm:588250}	DRUG_RESOURCE	milnacipran-Drug_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/drug_resource/milnacipran-Drug_Resource_Mappings.xlsx
163133	{RxNorm:10390}	DRUG_RESOURCE	tetrabenazine-Drug_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/drug_resource/tetrabenazine-Drug_Resource_Mappings.xlsx
163307	{RxNorm:343047}	RECOMMENDATION	atazanavir recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/atazanavir%20recommendation.xlsx
2457283	{G6PD}	FREQUENCY	G6PD_frequency_table.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/frequency/G6PD_frequency_table.xlsx
2458369	{RxNorm:8687}	RECOMMENDATION	primaquine recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/primaquine%20recommendation.xlsx
3186721	{RxNorm:39786}	TEST_ALERT	venlafaxine_Pre_and_Post_Test_Alerts.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/test_alert/venlafaxine_Pre_and_Post_Test_Alerts.xlsx
1508653	{RxNorm:7646}	TEST_ALERT	omeprazole_Pre_and_Post_Test_Alerts.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/test_alert/omeprazole_Pre_and_Post_Test_Alerts.xlsx
163309	{RxNorm:5640}	RECOMMENDATION	ibuprofen recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/ibuprofen%20recommendation.xlsx
163061	{RxNorm:194000}	DRUG_RESOURCE	capecitabine-Drug_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/drug_resource/capecitabine-Drug_Resource_Mappings.xlsx
6602724	{NAT2}	ALLELE_DEFINITION	NAT2_allele_definition_table.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/allele_definition/NAT2_allele_definition_table.xlsx
3127948	{RxNorm:1455099}	RECOMMENDATION	vortioxetine recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/vortioxetine%20recommendation.xlsx
162469	{ANKK1}	GENE_RESOURCE	ANKK1-Gene_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/gene_resource/ANKK1-Gene_Resource_Mappings.xlsx
2458073	{RxNorm:4601}	DRUG_RESOURCE	furazolidone-Drug_Resource_Mappings.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/drug_resource/furazolidone-Drug_Resource_Mappings.xlsx
876653	{RxNorm:2049549}	RECOMMENDATION	plazomicin recommendation.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/recommendation/plazomicin%20recommendation.xlsx
1508703	{RxNorm:343047}	TEST_ALERT	atazanavir_Pre_and_Post_Test_Alerts.xlsx	https://files.cpicpgx.org/data/report/2026-02-04/test_alert/atazanavir_Pre_and_Post_Test_Alerts.xlsx
